Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%
A.J. Green,4.4,23.5,0.374,0.6,1.2,0.2,0.0,0.4
A.J. Lawson,3.2,23.0,0.462,0.5,1.2,0.2,0.1,0.3
AJ Griffin,5.6,19.5,0.42,0.6,1.5,0.4,0.2,0.3
Aaron Gordon,15.1,27.0,0.446,3.0,6.3,0.7,0.7,0.3
Aaron Holiday,5.9,25.6,0.404,2.2,1.8,0.6,0.1,0.4
Aaron Nesmith,8.7,23.0,0.388,1.1,3.1,0.7,0.4,0.4
Aaron Wiggins,7.3,24.0,0.36,1.2,3.0,0.6,0.2,0.4
Admiral Schofield,3.0,25.0,0.338,0.6,1.6,0.1,0.1,0.3
Al Horford,9.5,36.0,0.292,3.0,6.8,0.6,1.1,0.4
Alec Burks,10.8,31.4,0.518,1.8,2.9,0.6,0.2,0.4
Aleksej Pokusevski,7.0,21.0,0.439,1.8,4.4,0.6,0.8,0.3
Alex Caruso,7.7,28.0,0.296,3.5,3.4,1.6,0.7,0.4
Alex Len,3.4,29.0,0.356,0.9,3.0,0.2,0.6,0.1
Alize Johnson,1.8,25.0,0.332,0.4,2.7,0.2,0.0,0.0
Alperen Sengun,21.1,21.0,0.636,5.0,9.3,1.2,0.7,0.3
Alperen Þengün,12.2,19.5,0.518,3.2,7.2,0.8,0.9,0.3
Amen Thompson,9.5,21.0,0.438,2.6,6.6,1.3,0.6,0.1
Amir Coffey,6.3,25.0,0.319,1.3,2.0,0.4,0.2,0.3
Andre Drummond,8.0,28.6,0.459,1.2,8.8,0.9,0.8,0.0
Andre Iguodala,4.0,38.0,0.26,3.7,3.2,0.9,0.7,0.2
Andre Jackson Jr.,2.2,22.0,0.239,0.9,2.0,0.3,0.1,0.4
Andrew Nembhard,9.4,23.5,0.386,4.3,2.4,0.9,0.2,0.4
Andrew Wiggins,15.8,27.0,0.511,2.1,4.7,0.9,0.7,0.4
Anfernee Simons,20.3,23.0,0.605,4.5,2.9,0.6,0.1,0.4
Anthony Black,4.6,20.0,0.292,1.3,2.0,0.5,0.3,0.4
Anthony Davis,24.6,29.0,0.64,3.1,11.7,1.2,2.2,0.2
Anthony Edwards,23.9,21.0,0.686,4.4,5.3,1.5,0.6,0.4
Anthony Gill,3.7,30.0,0.341,0.6,1.8,0.2,0.2,0.3
Anthony Lamb,6.7,25.0,0.334,1.5,3.5,0.5,0.3,0.4
Armoni Brooks,5.8,23.0,0.406,1.2,2.0,0.5,0.2,0.3
Ausar Thompson,8.8,21.0,0.388,1.9,6.4,1.1,0.9,0.2
Austin Reaves,12.1,24.0,0.388,3.6,3.5,0.6,0.3,0.4
Austin Rivers,5.4,29.5,0.267,1.4,1.6,0.6,0.1,0.3
Avery Bradley,6.4,31.0,0.279,0.8,2.2,0.9,0.1,0.4
Ayo Dosunmu,9.9,23.0,0.347,3.0,2.8,0.8,0.4,0.4
